vi;vi+1;tmin/ti
0.108741;0.111686;1.02708;
0.0158134;0.0162421;1.02711;
0.0104704;0.00975573;1.07326;
0.0253921;0.0258203;1.01686;
0.0573583;0.0578015;1.00773;
0.070863;0.0679217;1.0433;
0.0467145;0.04578;1.02041;
0.0377267;0.0356469;1.05835;
0.00543817;0.00600898;1.10496;
0.0327435;0.03245;1.00905;
0.0156366;0.0156409;1.00028;
0.00244254;0.00216856;1.12634;
0.0209621;0.0214952;1.02543;
0.0153489;0.0137614;1.11536;
0.00604579;0.00557844;1.08378;
0.0286747;0.0271949;1.05441;
0.00658863;0.00607865;1.0839;
0.089557;0.0714895;1.25273;
0.0270902;0.0157573;1.71922;
0.110459;0.104767;1.05432;
0.00541584;0.00529476;1.02287;
0.0107288;0.0116422;1.08514;
0.104363;0.103737;1.00604;
0.0646761;0.0703323;1.08745;
0.142582;0.134505;1.06005;
1.5702e-05;3.4478e-05;2.19577;
0.00177403;0.00191945;1.08197;
0.0661153;0.0681787;1.03121;
0.0751938;0.0706577;1.0642;
0.138897;0.129031;1.07646;
0.0114712;0.0109566;1.04697;
0.0176136;0.016864;1.04445;
0.0174809;0.0175714;1.00518;
0.0098938;0.00910871;1.08619;
0.130077;0.118398;1.09864;
0.00724394;0.00749916;1.03523;
0.0168282;0.0153157;1.09875;
0.0168427;0.0176271;1.04657;
0.00702083;0.00502157;1.39813;
0.0173961;0.0170352;1.02119;
0.035894;0.0350314;1.02462;
0.0585747;0.0609725;1.04094;
0.0697092;0.0526156;1.32488;
0.115746;0.11389;1.0163;
0.0293875;0.029965;1.01965;
0.00973675;0.00754007;1.29133;
0.031033;0.0318912;1.02765;
0.00191299;0.00218153;1.14037;
0.00272739;0.00294945;1.08142;
0.0196524;0.0206328;1.04988;
0.0634222;0.0607629;1.04377;
0.00955328;0.00863588;1.10623;
0.0162422;0.0139739;1.16232;
0.108363;0.0967472;1.12007;
0.0960476;0.0943206;1.01831;
0.00818775;0.00572266;1.43076;
0.0184936;0.0142042;1.30198;
0.102098;0.0958348;1.06535;
0.0394659;0.0344031;1.14716;
0.00992658;0.00846601;1.17252;
0.0112619;0.00940564;1.19736;
0.102462;0.0920149;1.11354;
0.0263211;0.027706;1.05262;
0.117705;0.160738;1.3656;
