filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_16_100_1000_2.in;0.00774064;3898;100;992;99200
../../keptInstances/knapPI_16_50_1000_75.in;0.114323;31864;50;18550;927500
../../keptInstances/knapPI_11_20_1000_50.in;0.00637034;16422;20;2943;58860
../../keptInstances/knapPI_12_20_1000_45.in;0.0129371;7020;20;6596;131920
../../keptInstances/knapPI_15_20_1000_67.in;0.0132968;5871;20;5852;117040
../../keptInstances/knapPI_13_20_1000_15.in;0.00410968;2784;20;2447;48940
../../keptInstances/knapPI_15_20_1000_54.in;0.0138757;6501;20;6485;129700
../../keptInstances/knapPI_15_50_1000_23.in;0.0291525;5634;50;5602;280100
../../keptInstances/knapPI_12_50_1000_23.in;0.0439817;7794;50;8328;416400
../../keptInstances/knapPI_12_50_1000_56.in;0.0487426;9240;50;9243;462150
../../keptInstances/knapPI_11_50_1000_51.in;0.101503;13928;50;18958;947900
../../keptInstances/knapPI_16_20_1000_81.in;0.0243253;15292;20;10197;203940
../../keptInstances/knapPI_15_50_1000_6.in;0.00656396;1539;50;1526;76300
../../keptInstances/knapPI_16_50_1000_19.in;0.0247498;11569;50;4595;229750
../../keptInstances/knapPI_15_20_1000_9.in;0.00170087;996;20;994;19880
../../keptInstances/knapPI_12_20_1000_7.in;0.00220962;1125;20;1278;25560
../../keptInstances/knapPI_12_20_1000_93.in;0.0194348;7549;20;7430;148600
../../keptInstances/knapPI_13_100_1000_6.in;0.0383974;4635;100;3882;388200
../../keptInstances/knapPI_11_20_1000_25.in;0.00420462;11458;20;2175;43500
../../keptInstances/knapPI_11_20_1000_56.in;0.00890013;5949;20;4090;81800
../../keptInstances/knapPI_12_100_1000_19.in;0.0851076;8432;100;8682;868200
../../keptInstances/knapPI_11_50_1000_74.in;0.088749;16794;50;14690;734500
../../keptInstances/knapPI_13_20_1000_30.in;0.00277643;2475;20;1397;27940
../../keptInstances/knapPI_16_20_1000_46.in;0.0116427;10056;20;5554;111080
../../keptInstances/knapPI_15_50_1000_78.in;0.0871179;15051;50;14995;749750
../../keptInstances/knapPI_15_50_1000_29.in;0.0340614;6393;50;6353;317650
../../keptInstances/knapPI_14_100_1000_2.in;0.00788075;3482;100;992;99200
../../keptInstances/knapPI_15_100_1000_2.in;0.00764103;1008;100;992;99200
../../keptInstances/knapPI_16_50_1000_54.in;0.0942498;27487;50;15514;775700
../../keptInstances/knapPI_15_50_1000_18.in;0.0263125;4425;50;4400;220000
../../keptInstances/knapPI_14_50_1000_66.in;0.108021;25180;50;16381;819050
../../keptInstances/knapPI_12_50_1000_38.in;0.0623835;11596;50;11167;558350
