filename;Temps-calculs(s);optimum;N;M;N*M
../../keptInstances/knapPI_15_100_1000_6.in;0.0288441;3042;100;3011;301100
../../keptInstances/knapPI_13_20_1000_48.in;0.00608834;3993;20;2814;56280
../../keptInstances/knapPI_14_50_1000_74.in;0.116055;28927;50;19527;976350
../../keptInstances/knapPI_12_20_1000_57.in;0.00996736;5347;20;4878;97560
../../keptInstances/knapPI_11_20_1000_27.in;0.0073021;7353;20;3484;69680
../../keptInstances/knapPI_15_50_1000_7.in;0.00842255;1845;50;1828;91400
../../keptInstances/knapPI_13_100_1000_10.in;0.0590171;7696;100;6232;623200
../../keptInstances/knapPI_15_100_1000_4.in;0.0180061;2061;100;2034;203400
../../keptInstances/knapPI_13_50_1000_63.in;0.085879;18686;50;14055;702750
../../keptInstances/knapPI_14_20_1000_47.in;0.00882143;6632;20;3934;78680
../../keptInstances/knapPI_11_20_1000_65.in;0.0216026;10616;20;10107;202140
../../keptInstances/knapPI_15_20_1000_48.in;0.010301;4488;20;4474;89480
../../keptInstances/knapPI_14_20_1000_14.in;0.00278581;3283;20;1333;26660
../../keptInstances/knapPI_15_200_1000_4.in;0.0823471;4266;200;4218;843600
../../keptInstances/knapPI_15_50_1000_14.in;0.0190459;3753;50;3732;186600
../../keptInstances/knapPI_14_20_1000_84.in;0.0169147;10452;20;6765;135300
../../keptInstances/knapPI_11_50_1000_47.in;0.0846199;9394;50;15242;762100
../../keptInstances/knapPI_11_50_1000_93.in;0.112391;11337;50;17651;882550
../../keptInstances/knapPI_16_20_1000_94.in;0.0282477;17363;20;11439;228780
../../keptInstances/knapPI_16_50_1000_73.in;0.121301;32397;50;18268;913400
../../keptInstances/knapPI_16_50_1000_14.in;0.0215745;10047;50;3732;186600
../../keptInstances/knapPI_13_20_1000_46.in;0.0140241;7216;20;6122;122440
../../keptInstances/knapPI_14_50_1000_22.in;0.0328321;10669;50;5569;278450
../../keptInstances/knapPI_13_20_1000_39.in;0.00978468;5104;20;4240;84800
../../keptInstances/knapPI_14_50_1000_58.in;0.0933488;24153;50;15953;797650
../../keptInstances/knapPI_15_20_1000_98.in;0.0259454;11109;20;11095;221900
../../keptInstances/knapPI_13_20_1000_49.in;0.00708559;4881;20;3152;63040
../../keptInstances/knapPI_11_20_1000_45.in;0.0134564;2340;20;6596;131920
../../keptInstances/knapPI_16_20_1000_64.in;0.0154999;11713;20;6706;134120
../../keptInstances/knapPI_16_50_1000_78.in;0.0907796;30563;50;14995;749750
../../keptInstances/knapPI_14_20_1000_92.in;0.0230545;14011;20;9814;196280
../../keptInstances/knapPI_16_100_1000_6.in;0.0302855;9881;100;3011;301100
../../keptInstances/knapPI_11_50_1000_25.in;0.0306509;26332;50;5565;278250
../../keptInstances/knapPI_14_50_1000_43.in;0.0693711;18293;50;11493;574650
../../keptInstances/knapPI_11_20_1000_13.in;0.00291469;2576;20;1858;37160
../../keptInstances/knapPI_16_50_1000_30.in;0.0402086;17339;50;7471;373550
../../keptInstances/knapPI_11_50_1000_32.in;0.0396281;6745;50;5041;252050
../../keptInstances/knapPI_15_20_1000_52.in;0.0192821;5301;20;5283;105660
../../keptInstances/knapPI_16_20_1000_9.in;0.00273396;3050;20;994;19880
../../keptInstances/knapPI_13_20_1000_82.in;0.0283406;10335;20;8423;168460
../../keptInstances/knapPI_14_20_1000_89.in;0.0432821;14781;20;10788;215760
../../keptInstances/knapPI_16_50_1000_23.in;0.0498261;13572;50;5602;280100
../../keptInstances/knapPI_15_20_1000_34.in;0.0096777;3435;20;3423;68460
../../keptInstances/knapPI_14_50_1000_78.in;0.126722;23995;50;14995;749750
../../keptInstances/knapPI_13_50_1000_6.in;0.0109992;2190;50;1842;92100
../../keptInstances/knapPI_14_50_1000_41.in;0.088589;17158;50;9958;497900
../../keptInstances/knapPI_11_20_1000_39.in;0.0132829;5520;20;3578;71560
../../keptInstances/knapPI_15_50_1000_69.in;0.140914;16308;50;16264;813200
../../keptInstances/knapPI_13_50_1000_8.in;0.0125578;2760;50;2174;108700
../../keptInstances/knapPI_13_20_1000_8.in;0.00249764;1564;20;1260;25200
../../keptInstances/knapPI_12_20_1000_73.in;0.0277292;7210;20;8235;164700
../../keptInstances/knapPI_14_50_1000_69.in;0.139822;25464;50;16264;813200
../../keptInstances/knapPI_16_50_1000_27.in;0.0644347;15944;50;7221;361050
../../keptInstances/knapPI_16_50_1000_16.in;0.0382568;10647;50;4125;206250
../../keptInstances/knapPI_15_20_1000_73.in;0.0275333;6831;20;6813;136260
../../keptInstances/knapPI_14_20_1000_81.in;0.0310122;13995;20;10197;203940
../../keptInstances/knapPI_15_100_1000_13.in;0.076233;6729;100;6679;667900
../../keptInstances/knapPI_13_100_1000_4.in;0.0120575;1734;100;1315;131500
../../keptInstances/knapPI_16_50_1000_61.in;0.079489;26697;50;12639;631950
../../keptInstances/knapPI_15_20_1000_92.in;0.0244945;9828;20;9814;196280
../../keptInstances/knapPI_15_200_1000_3.in;0.0889587;2916;200;2873;574600
../../keptInstances/knapPI_16_20_1000_36.in;0.0112617;6801;20;2990;59800
../../keptInstances/knapPI_15_20_1000_100.in;0.0298111;8928;20;8917;178340
../../keptInstances/knapPI_11_20_1000_55.in;0.021686;4380;20;5037;100740
../../keptInstances/knapPI_14_50_1000_51.in;0.111592;19684;50;12084;604200
../../keptInstances/knapPI_13_20_1000_14.in;0.00573182;2046;20;1818;36360
../../keptInstances/knapPI_12_50_1000_51.in;0.147535;19767;50;18958;947900
../../keptInstances/knapPI_16_20_1000_79.in;0.0176572;13570;20;7658;153160
../../keptInstances/knapPI_15_20_1000_6.in;0.00136044;930;20;928;18560
../../keptInstances/knapPI_16_20_1000_27.in;0.00555793;6385;20;2820;56400
../../keptInstances/knapPI_15_50_1000_2.in;0.00362673;993;50;982;49100
../../keptInstances/knapPI_11_50_1000_13.in;0.0219309;6992;50;4866;243300
../../keptInstances/knapPI_14_50_1000_80.in;0.135719;28125;50;18125;906250
../../keptInstances/knapPI_16_50_1000_77.in;0.115158;31823;50;17649;882450
../../keptInstances/knapPI_13_100_1000_68.in;0.159139;17008;100;8495;849500
../../keptInstances/knapPI_14_20_1000_96.in;0.0258031;12736;20;8758;175160
../../keptInstances/knapPI_11_20_1000_35.in;0.00495899;6619;20;1602;32040
