"knapPI_12_50_1000_2.in";0.00492705;0.00418012;0.00400619;0.003987;123.578;104.844;100.481;100;
"knapPI_12_20_1000_49.in";0.0181034;0.0163494;0.0160478;0.0160534;112.809;101.879;100;100.035;
"knapPI_16_20_1000_42.in";0.00836869;0.00799803;0.00787873;0.00797478;106.219;101.514;100;101.219;
"knapPI_12_20_1000_19.in";0.00285726;0.00272484;0.00271504;0.00261453;109.284;104.219;103.844;100;
"knapPI_14_50_1000_10.in";0.0124761;0.0106892;0.0109172;0.0126532;116.717;100;102.133;118.373;
"knapPI_15_20_1000_49.in";0.0100404;0.00900534;0.00987148;0.00879993;114.096;102.334;112.177;100;
"knapPI_11_20_1000_46.in";0.018318;0.0156918;0.0157414;0.0187342;116.736;100;100.316;119.388;
"knapPI_11_20_1000_18.in";0.00572077;0.00561188;0.00592056;0.00644738;101.94;100;105.501;114.888;
"knapPI_12_20_1000_85.in";0.0313209;0.0310867;0.02681;0.0268827;116.825;115.952;100;100.271;
"knapPI_12_20_1000_69.in";0.0149234;0.0140344;0.0137933;0.0134842;110.674;104.081;102.293;100;
"knapPI_12_50_1000_22.in";0.0347532;0.0353297;0.0337914;0.0337545;102.959;104.666;100.109;100;
"knapPI_16_200_1000_2.in";0.0328942;0.0302519;0.0294975;0.0298147;111.515;102.558;100;101.075;
"knapPI_14_100_1000_18.in";0.0911645;0.0821673;0.07976;0.0786238;115.95;104.507;101.445;100;
"knapPI_16_20_1000_5.in";0.00134184;0.00134993;0.0013295;0.00127665;105.106;105.74;104.14;100;
"knapPI_14_100_1000_12.in";0.0579019;0.0533501;0.0558621;0.053638;108.532;100;104.708;100.54;
"knapPI_15_50_1000_45.in";0.0527034;0.049638;0.0562657;0.057237;106.176;100;113.352;115.309;
"knapPI_14_20_1000_35.in";0.00572999;0.00828814;0.00543148;0.00544202;105.496;152.595;100;100.194;
"knapPI_14_20_1000_73.in";0.0132584;0.0125589;0.0148301;0.0147113;105.569;100;118.084;117.138;
"knapPI_16_20_1000_44.in";0.00862686;0.00951202;0.00801656;0.00798788;107.999;119.081;100.359;100;
"knapPI_13_20_1000_7.in";0.00153886;0.00149623;0.00148897;0.00163399;103.351;100.488;100;109.74;
"knapPI_15_20_1000_18.in";0.00356518;0.00361212;0.00314971;0.00309191;115.307;116.825;101.869;100;
