"knapPI_12_50_1000_2.in";0.000297883;0.000175792;0.000174323;0.000174424;170.88;100.843;100;100.058;
"knapPI_12_20_1000_49.in";0.000952885;0.000465727;0.000388882;0.00039017;245.032;119.76;100;100.331;
"knapPI_16_20_1000_42.in";0.000431805;0.000213423;0.000224008;0.000215617;202.324;100;104.96;101.028;
"knapPI_12_20_1000_19.in";0.000116094;9.2065e-05;9.5753e-05;9.4416e-05;126.1;100;104.006;102.554;
"knapPI_14_50_1000_10.in";0.000635707;0.000334755;0.000294175;0.000322442;216.098;113.795;100;109.609;
"knapPI_15_20_1000_49.in";0.000633668;0.000329301;0.000357029;0.000345053;192.428;100;108.42;104.783;
"knapPI_11_20_1000_46.in";0.00108811;0.000876026;0.0010018;0.000596421;182.44;146.88;167.969;100;
"knapPI_11_20_1000_18.in";0.000565793;0.000200014;0.000197064;0.000207793;287.111;101.497;100;105.444;
"knapPI_12_20_1000_85.in";0.00136293;0.000767126;0.000835732;0.000833997;177.666;100;108.943;108.717;
"knapPI_12_20_1000_69.in";0.00121203;0.000453048;0.000443622;0.000406195;298.385;111.535;109.214;100;
"knapPI_12_50_1000_22.in";0.00191951;0.0011527;0.00123047;0.00110266;174.08;104.538;111.591;100;
"knapPI_16_200_1000_2.in";0.002946;0.00138598;0.00155626;0.00104926;280.768;132.09;148.319;100;
"knapPI_14_100_1000_18.in";0.00446361;0.0023122;0.00212171;0.00247184;210.378;108.978;100;116.502;
"knapPI_16_20_1000_5.in";7.8059e-05;7.9282e-05;9.0622e-05;6.5793e-05;118.643;120.502;137.738;100;
"knapPI_14_100_1000_12.in";0.0038535;0.00157635;0.00206112;0.00251618;244.457;100;130.753;159.621;
"knapPI_15_50_1000_45.in";0.00292494;0.00141798;0.00131217;0.0013334;222.909;108.064;100;101.618;
"knapPI_14_20_1000_35.in";0.00049211;0.000221559;0.000186697;0.000193146;263.588;118.673;100;103.454;
"knapPI_14_20_1000_73.in";0.000924543;0.000372706;0.000370217;0.000368411;250.954;101.166;100.49;100;
"knapPI_16_20_1000_44.in";0.000486685;0.000256581;0.000294966;0.000266875;189.681;100;114.96;104.012;
"knapPI_13_20_1000_7.in";7.275e-05;6.0941e-05;5.8676e-05;6.1527e-05;123.986;103.86;100;104.859;
"knapPI_15_20_1000_18.in";0.000179213;0.000113531;0.000111946;0.000111149;161.237;102.143;100.717;100;
"knapPI_11_20_1000_51.in";0.00078106;0.000395534;0.000393771;0.000393661;198.409;100.476;100.028;100;
"knapPI_14_20_1000_86.in";0.00132235;0.000708632;0.000552053;0.000532067;248.531;133.185;103.756;100;
"knapPI_15_20_1000_96.in";0.000962927;0.000492893;0.000490464;0.000489951;196.535;100.6;100.105;100;
"knapPI_15_50_1000_73.in";0.00622409;0.00351393;0.00399572;0.00460708;177.126;100;113.711;131.109;
